target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.5915646675376622,0.8047824125817472,
raw,P1_ovt_text_stream,0.24670072039329594,0.7165272155066266,0.6904327589159996,10000.0
raw,P1_ovt_slot0,0.24670072039329594,0.7165272155066266,0.6904327589159996,10000.0
raw,P1b_e8_visual_memory,0.24670072039329594,0.7165272155066266,0.6904327589159996,10000.0
raw,P2_llm_image_stream,0.32613449138487915,0.7512840204411066,0.6508642793131417,10000.0
raw,P3_word_only,0.19071966792098427,0.6891555619478797,0.7205125906794662,0.1
raw,P4_raw_siglip,0.5142704678977362,0.8331209163258453,0.5425117460100752,1000.0
instance_residual,P0_mean_floor,0.0,-0.008699586380571373,1.0000000000089848,
instance_residual,P1_ovt_text_stream,0.08173839279929296,0.31150083224580954,0.9494869127508964,10000.0
instance_residual,P1_ovt_slot0,0.08173839279929296,0.31150083224580954,0.9494869127508964,10000.0
instance_residual,P1b_e8_visual_memory,0.08173839279929296,0.31150083224580954,0.9494869127508964,10000.0
instance_residual,P2_llm_image_stream,0.16307330750358595,0.4211668630567521,0.9043263596904006,10000.0
instance_residual,P4_raw_siglip,0.33558482802960443,0.617060733463766,0.7825406726101104,100.0
