target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.5915646675376622,0.8047824125817472,
raw,P1_ovt_text_stream,0.24309857436092464,0.7150584706488764,0.6934038304080232,10000.0
raw,P1_ovt_slot0,0.24309857436092464,0.7150584706488764,0.6934038304080232,10000.0
raw,P1b_e8_visual_memory,0.28966544558857943,0.7379413931687487,0.6673224470830462,1000.0
raw,P2_llm_image_stream,0.3363936343798699,0.7570693768615215,0.6436395949172123,10000.0
raw,P3_word_only,0.1909862248065044,0.6892798238753826,0.7203536847380259,0.1
raw,P4_raw_siglip,0.5142704678977362,0.8331209163258453,0.5425117460100752,1000.0
instance_residual,P0_mean_floor,0.0,0.00011851567360277883,0.9999999999988922,
instance_residual,P1_ovt_text_stream,0.07061577380847173,0.28655894780600605,0.9593563431692356,100000.0
instance_residual,P1_ovt_slot0,0.07061577380847173,0.28655894780600605,0.9593563431692356,100000.0
instance_residual,P1b_e8_visual_memory,0.11913052644615396,0.37388119047855317,0.9271368487954464,10000.0
instance_residual,P2_llm_image_stream,0.16412720004894166,0.427241864536903,0.9016832387162552,10000.0
instance_residual,P4_raw_siglip,0.3342769145804757,0.6158830253542881,0.783539906527033,100.0
